Mistrzejowice,50.0950303,19.9963344,213648443,1175384
Dunikowskiego,50.0925510,20.0154578,1770978367,1175384
Rondo Hipokratesa,50.0900896,20.0213666,1770978364,1175384
DH Wanda,50.0845193,20.0204631,1770978365,1175384
Rondo Kocmyrzowskie im. Ks. Gorzelanego,50.0790636,20.0280704,2386355260,1175384
Os. Zgody,50.0769194,20.0308522,1961123173,1175384
Plac Centralny im. R. Reagana,50.0713062,20.0383798,2428234771,1175384
Os. Na Skarpie,50.0698405,20.0453085,2386355259,1175384
Klasztorna,50.0686049,20.0521338,2428299807,1175384
Suche Stawy,50.0674714,20.0590681,2428299802,1175384
Bardosa NÅ»,50.0678055,20.0655354,2194801607,1175384
Kopiec Wandy,50.0681689,20.0692244,1763772088,1175384
Rondo Piastowskie,50.0943491,20.0112770,1301798253,1175384
